agenda_segment,matched_legislation
"ROLL CALL
   Present 9 - Council Member Charland, Council Member Coghill, Council Member Gross,
Council Member Lavelle, Council Member Mosley, Council Member
Kail-Smith, Council Member Strassburger, Council Member Warwick, and
Council Member Wilson",NO_LEGISLATION
PLEDGE OF ALLEGIANCE,NO_LEGISLATION
MOTION TO AMEND THE AGENDA,NO_LEGISLATION
"PROCLAMATIONS
2025-1717 NOW, THEREFORE BE IT RESOLVED, that the Council of the City of
Pittsburgh does hereby recognize and congratulate Dr. Christine White-Taylor,
scholar, educator, administrator, and community stakeholder and,
BE IT FURTHER RESOLVED that the Council of the City of Pittsburgh does
hereby declare, Saturday, April 5th, 2025, to be ""Dr. Christine White-Taylor
Day"" in the City of Pittsburgh.
SPONSOR /S: COUNCIL MEMBER MOSLEY AND ALL MEMBERS
A motion was made that this matter be Adopted. The motion carried.
Enactment No: 200","title
WHEREAS, Dr. Christine White-Taylor received her bachelor’s degree from Slippery Rock State College and received her Master’s and Doctoral degrees from Duquesne University. While beginning her career as a high school social studies teacher, Ms. White-Taylor began to cultivate her passions. After years in the classroom, Dr. White-Taylor ascended her position at PPS and became Vice Principal and then Principal and,
  body
WHEREAS, Dr. White-Taylor brought her expertise to several schools over the course of her 32-year career, which includes Perry, Allegheny, and Westinghouse just to name a few.  Ms. White-Taylor continues to be a mentor to many.  Since her retirement, Dr. White-Taylor has devoted her time to working in educational advocacy for students in foster care, as well as consulting with local school districts and,
  WHEREAS, Dr. White-Taylor has served on the executive board for the Lincoln-Lemington-Larimer-Belmar Redevelopment Corporation, the Sixth Economic Empowerment Development, Inc. (SEED) where she is currently the Treasurer, as well as, Sixth Mount Zion Missionary Baptist Church, where she serves on the Board of Trustees. In addition to her professional legacy, Dr. White-Taylor has been an active member of her Sorority, Delta Sigma Theta Sorority, Incorporated for 49 years and was the President of the Pittsburgh Alumnae Chapter from 1992-1995. and,
  NOW, THEREFORE BE IT RESOLVED, that the Council of the City of Pittsburgh does hereby recognize and congratulate Dr. Christine White-Taylor, scholar, educator, administrator, and community stakeholder and,
  BE IT FURTHER RESOLVED that the Council of the City of Pittsburgh does hereby declare, Saturday, April 5th, 2025, to be “Dr. Christine White-Taylor Day” in the City of Pittsburgh."
"2025-1718 NOW, THEREFORE BE IT RESOLVED, that the Council of the City of
Pittsburgh does hereby recognize and commend 412Thrive for continuing to be a
strong support system to make those affected by cancer feel secure; and,
BE IT FURTHER RESOLVED that the Council of the City of Pittsburgh does
hereby declare Saturday April 12, 2025 to be ""412Thrive Day"" in the City of
Pittsburgh.
SPONSOR /S: COUNCIL MEMBER KAIL-SMITH AND ALL MEMBERS
A motion was made that this matter be Adopted. The motion carried.
Enactment No: 201","title
WHEREAS, 412Thrive was established as a nonprofit in 2020 during the Covid pandemic by women who longed for connection with others facing breast cancer and aimed to build a supportive community for those in similar situations; and,
  body
WHEREAS, 412Thrive supports and empowers individuals affected by breast cancer or genetic mutations linked to cancer. Known as ""Thrivers"" in southwestern Pennsylvania, the group is committed to making a positive impact in the lives of those it serves; and
  WHEREAS, the group offers financial support for patient resources and hosts wellness events that focus on life during and after a cancer diagnosis. They are dedicated to building a supportive community where everyone feels safe, included, and connected; and
  WHEREAS, by offering online and in-person support, monthly gatherings, educational workshops, wellness retreats, care packages, house cleaning and meals when needed, 412Thrive is devoted to helping individuals do more than survive, they help them thrive; and
  NOW, THEREFORE BE IT RESOLVED, that the Council of the City of Pittsburgh does hereby recognize and commend 412Thrive for continuing to be a strong support system to make those affected by cancer feel secure; and,
  BE IT FURTHER RESOLVED that the Council of the City of Pittsburgh does hereby declare Saturday April 12, 2025 to be “412Thrive Day” in the City of Pittsburgh."
"2025-1719 NOW, THEREFORE BE IT RESOLVED, that the Council of the City of
Pittsburgh does hereby recognize Judge Robert J. Colville and thank him for his
honorable service; and,
BE IT FURTHER RESOLVED that the Council of the City of Pittsburgh does
hereby declare Tuesday, April 8, 2025 to be the ""Honorable Robert J. Colville
Day"" in the City of Pittsburgh.
SPONSOR /S: COUNCIL MEMBER KAIL-SMITH AND ALL MEMBERS
A motion was made that this matter be Adopted. The motion carried.
Enactment No: 202","title
WHEREAS, the Honorable Robert J. Colville received the Judge James R. McGregor Award for Exceptional Contributions to the Community at the 63rd Annual Amen Corner Judicial Reception on Tuesday, April 8 held at the Duquesne Club; and, 
  body
WHEREAS, District Judge Colville received his bachelor’s degree from Pennsylvania State University in 1989 and his J.D. from Duquesne University School of Law in 1992; and, 
  WHEREAS, in 2019, he was nominated by President Donald Trump to serve as Judge for the U.S. District Court for the Western District of Pennsylvania, filling the seat vacated by Judge Arthur J. Schwab. He was confirmed by the Senate on December 19, 2019, and received his commission on December 31, 2019; and,
  WHEREAS, prior to his appointment as District Judge, he served as a Law Clerk to the Honorable Ralph J. Cappy of the Supreme Court of Pennsylvania. He then practiced law privately for several years before becoming a Judge on the Court of Common Pleas of Allegheny County, where he served in the Juvenile, Family, and Civil Divisions. Additionally, he served as a Judge on the Pennsylvania Court of Judicial Discipline from 2012 to 2016; and,
  WHEREAS, in addition, Judge Colville has served as an adjunct professor at LaRoche College since 2003.  He is currently a member of the Allegheny County Bar Association and the National Conference of State Trial Judges and was recognized as a Fellow of the Allegheny County Bar Foundation in 2017; and,
  NOW, THEREFORE BE IT RESOLVED, that the Council of the City of Pittsburgh does hereby recognize Judge Robert J. Colville and thank him for his honorable service; and,
  BE IT FURTHER RESOLVED that the Council of the City of Pittsburgh does hereby declare Tuesday, April 8, 2025 to be the “Honorable Robert J. Colville Day” in the City of Pittsburgh."
"2025-1720 NOW, THEREFORE BE IT RESOLVED, that the Council of the City of
Pittsburgh does hereby recognize PA Supreme Court Judge Mary Jane Bowes and
thank her for her honorable service; and,
BE IT FURTHER RESOLVED that the Council of the City of Pittsburgh does
hereby declare Tuesday, April 8, 2025 to be the ""Honorable Mary Jane Bowes
Day"" in the City of Pittsburgh.
SPONSOR /S: COUNCIL MEMBER KAIL-SMITH AND ALL MEMBERS
A motion was made that this matter be Adopted. The motion carried.
Enactment No: 203","title
WHEREAS, the Honorable Mary Jane Bowes received the Judge Robert E Dauer Award for Judicial Leadership & Excellence at the 63rd Annual Amen Corner Judicial Reception on Tuesday, April 8 held at the Duquesne Club; and,
body
WHEREAS, PA Supreme Court Judge Bowes received her bachelor’s degree from Georgetown University in 1976 and her J.D. from the University of Pittsburgh School of Law in 1979; and, 
  WHEREAS, elected in 2001, Judge Bowes has been serving on the Superior Court of Pennsylvania for over 24 years. She was retained for two additional 10-year terms in 2011 and 2021. She also serves as Lecturer for the Pennsylvania Bar Association; and,
  WHEREAS, prior to serving on the bench, she has served as Judicial Law Clerk for the Supreme and Superior Courts of Pennsylvania. She also served as corporate counsel for IT Corporation, Monroeville, and was in private practice for several years. Additionally, she held the role of statewide administrative wiretap judge, where she was engaged in the comprehensive overhaul of internal operating procedures governing wiretaps for the first time in 20 years; and,
  WHEREAS, she is a member of the Pennsylvania Bar Association, the Allegheny County Bar Association, and its Appellate Practice Committee. She is also an elected member of the American Law Institute. In addition, Judge Bowes serves as Chair of the Pennsylvania Commission on Judicial Independence and the Advisory Board of the Carl G. Grefenstette Center for Ethics in Science, Technology, and Law at Duquesne University and is a Fellow of the Allegheny County Bar Foundation; and,
  WHEREAS, among her numerous honors and awards are the Spirit of St. Anthony Award, 2019; Honorary Alumna, Bloomsburg University, 2022; PBA Clarity Award, 2023; and Women’s Bar Association of Western PA Susan B. Anthony Award, 2024; and,
  WHEREAS, Judge Bowes has authored several articles for The Pennsylvania Lawyer and has written articles for The Lawyers Journal, Allegheny County Bar Association and the Pennsylvania Bar Association; and, 
  NOW, THEREFORE BE IT RESOLVED, that the Council of the City of Pittsburgh does hereby recognize PA Supreme Court Judge Mary Jane Bowes and thank her for her honorable service; and,
  BE IT FURTHER RESOLVED that the Council of the City of Pittsburgh does hereby declare Tuesday, April 8, 2025 to be the “Honorable Mary Jane Bowes Day” in the City of Pittsburgh."
"2025-1721 NOW, THEREFORE BE IT RESOLVED, that the Council of the City of
Pittsburgh does hereby reaffirm its commitment to supporting crime victims and
standing in kinship with survivors; and,
BE IT FURTHER RESOLVED that the Council of the City of Pittsburgh does
hereby declare the week of April 6-12, 2025 as ""National Crime Victims' Rights
Week"" in the City of Pittsburgh.
SPONSOR /S: COUNCIL MEMBER KAIL-SMITH AND ALL MEMBERS
A motion was made that this matter be Adopted. The motion carried.
Enactment No: 204","title
WHEREAS, National Crime Victims’ Rights Week (NCVRW) is observed annually in the month of April and is dedicated to honoring crime victims and survivors while raising awareness about their rights and services. NCVRW will be observed in 2025 the week of April 6-12; and,
  body
WHEREAS, this year’s theme is KINSHIP because this week is also about recognizing the efforts of those who support the victims and survivors of crime; and,  
  WHEREAS, crime affects individuals, families and communities in profound and varied ways, often leaving lasting physical, emotional and social challenges; and, 
  WHEREAS, the concept of KINSHIP highlights the bonds that create pathways to support, resources, and collective strength among survivors, advocates, and communities; and, 
  WHEREAS, KINSHIP lies at the heart of victim advocacy, guiding trauma-informed support that honors each survivor’s unique journey. Through the strength of connection, we create peer networks and community partnerships that empower survivors, foster resilience, and open doors to healing; and,
  WHEREAS, KINSHIP reminds us of the importance of listening to every voice, and the power we have to create lasting change when we work together; and, 
  NOW, THEREFORE BE IT RESOLVED, that the Council of the City of Pittsburgh does hereby reaffirm its commitment to supporting crime victims and standing in kinship with survivors; and, 
  BE IT FURTHER RESOLVED that the Council of the City of Pittsburgh does hereby declare the week of April 6-12, 2025 as “National Crime Victims’ Rights Week” in the City of Pittsburgh."
"WILLS OF COUNCIL
2025-1722 NOW, THEREFORE, BE IT RESOLVED, that the Council of the City of Pittsburgh
calls on the Governor to enact Article IV, Section 20, declaring the state of litter and
trash on the ground in Pittsburgh of such magnitude to constitute an emergency and
render essential the Commonwealth's supplementation of municipal resources to
remove trash debris from publicly- and privately-owned land and to restore public
health in our most livable city.
SPONSOR /S: COUNCIL MEMBER CHARLAND AND COUNCIL MEMBER
COGHILL
CO-SPONSOR /S: Council Member Kail-Smith, Council Member Lavelle, Council
Member Strassburger and Council Member Wilson
A motion was made that this matter be AMENDED. The motion carried.
Enactment No: 205
A motion was made that this matter be Adopted as Amended. The motion
carried.
Enactment No: 205","title
WHEREAS, Pittsburgh's Home Rule Charter states that “a responsible city is one which expects aggressive action from its officials towards the achievement of [...] excellent health, safety, and conditions conducive to human growth”; and,
body
WHEREAS, the Pennsylvania Constitution outlines the right ""to the preservation of the natural, scenic, historic and esthetic values of the environment""; and,
  WHEREAS, this spring, melting snow has once again revealed filthy hillsides, trails, alleys, rights-of-way, catch basins, and vacant land to be covered in trash, on the magnitude warranting a state of emergency and action by the Commonwealth of Pennsylvania; and,
  WHEREAS, unaccumulated refuse is described as “slow violence” and damages community health and perceptions, contributes to disorder, and curbs economic development leading to disinvestment especially in low-income communities; and,
  WHEREAS, previous monitoring and litter assessment efforts by the City have highlighted concentrations of litter in our most impoverished neighborhoods, often home to minority and immigrant neighbors; and,
WHEREAS, more than 1,110 illegal dumpsites have been identified in Pittsburgh since 2005, with more than 850 sites cleaned up; and,
  WHEREAS, not all dumpsites have been recorded much less cleaned, and recurring dumping at these known locations suggest the true scale of the problem is much larger than reported; and,
WHEREAS, while the work of non-profit and community organizations, volunteers, and the City's Department of Public Works to clean our neighborhoods deserve acknowledgement, these efforts are clearly not sustainable in fulfilling our responsibility to residents to maintain acceptable levels of cleanliness; and,
  WHEREAS, in recognition of the City’s limitations, we ask the Governor and the Commonwealth to lend all available equipment, contracts, and funding, and move with urgency to clean up and resolve these conditions harming public health and ruining the esthetics of the environment; and,
  NOW, THEREFORE, BE IT RESOLVED, that the Council of the City of Pittsburgh calls on the Governor to enact Article IV, Section 20, declaring the state of litter and trash on the ground in Pittsburgh of such magnitude to constitute an emergency and render essential the Commonwealth's supplementation of municipal resources to remove trash debris from publicly- and privately-owned land and to restore public health in our most livable city.title
WHEREAS, Pittsburgh's Home Rule Charter states that “a responsible city is one which expects aggressive action from its officials towards the achievement of [...] excellent health, safety, and conditions conducive to human growth”; and,
body
WHEREAS, the Pennsylvania Constitution outlines the right ""to the preservation of the natural, scenic, historic and esthetic values of the environment""; and,
  WHEREAS, this spring, melting snow has once again revealed filthy hillsides, trails, alleys, rights-of-way, catch basins, and vacant land to be covered in trash, on the magnitude warranting a state of emergency and action by the Commonwealth of Pennsylvania; and,
  WHEREAS, unaccumulated refuse is described as “slow violence” and damages community health and perceptions, contributes to disorder, and curbs economic development leading to disinvestment especially in low-income communities; and,
  WHEREAS, previous monitoring and litter assessment efforts by the City have highlighted concentrations of litter in our most impoverished neighborhoods, often home to minority and immigrant neighbors; and,
WHEREAS, more than 1,110 illegal dumpsites have been identified in Pittsburgh since 2005, with more than 850 sites cleaned up; and,
  WHEREAS, not all dumpsites have been recorded much less cleaned, and recurring dumping at these known locations suggest the true scale of the problem is much larger than reported; and,
WHEREAS, while the work of non-profit and community organizations, volunteers, and the City's Department of Public Works to clean our neighborhoods deserve acknowledgement, these efforts are clearly not sustainable in fulfilling our responsibility to residents to maintain acceptable levels of cleanliness; and,
  WHEREAS, in recognition of the City’s limitations, we ask the Governor and the Commonwealth to lend all available equipment, contracts, and funding, and move with urgency to clean up and resolve these conditions harming public health and ruining the esthetics of the environment; and,
  NOW, THEREFORE, BE IT RESOLVED, that the Council of the City of Pittsburgh calls on the Governor to enact Article IV, Section 20, declaring the state of litter and trash on the ground in Pittsburgh of such magnitude to constitute an emergency and render essential the Commonwealth's supplementation of municipal resources to remove trash debris from publicly- and privately-owned land and to restore public health in our most livable city."
PUBLIC COMMENTS,NO_LEGISLATION
