agenda_segment,matched_legislation
"ROLL CALL
   Present 8 - Council Member Wilson, Council Member Kail-Smith, Council Member
Charland, Council Member Coghill, Council Member Warwick, Council
Member Gross, Council Member Strassburger, and Council Member Mosley
Absent 1 - Council Member Lavelle",NO_LEGISLATION
"PUBLIC COMMENT
   Yvonne F. Brown
Special Agent Sunshine",NO_LEGISLATION
"2025-1634 Resolution repealing an item in Resolution Number 512 of 2022, effective date
September 23, 2022, in order to rescind the sale.
SPONSOR /S: COUNCIL MEMBER COGHILL
A motion was made that this matter be Affirmatively Recommended. The
motion carried.
Enactment No: 254","title
Resolution repealing an item in Resolution Number 512 of 2022, effective date September 23, 2022, in order to rescind the sale.
  body
Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                     The following item in Resolution Number 512 of 2022, effective date September 23, 2022, authorizing the sale of a property in the Nineteenth Ward of the City of Pittsburgh, in accordance with Act No. 171 of 1984, is hereby repealed.  The hand money is to be refunded. Item A: 136 Bodkin Street.
  (A)
Parys Durham
2 STY STN-ALUM SDG HSE
PURCHASE PRICE: $40,000.00
Residential Rehab - Rental
LOT: LOT 50 X AVG 101 X 55
LOCATION: 136 Bodkin Street
ACQUIRED: April 29, 2016 T/S# 349
WARD: 19 BLOCK & LOT: 62-K-200
COUNCIL DISTRICT: 4"
"2025-1709 Resolution authorizing the issuance of a warrant in favor of Angelina Priore, and her
attorneys, Kontos Mengine Killion & Hassen, for a single payment in 2025 in an
amount not to exceed EIGHTY THOUSAND DOLLARS AND ZERO CENTS
($80,000.00), in full and final settlement of litigation, filed in the Allegheny County
Court of Common Pleas at G.D. 22-005903.
(Executive Session held 4/8/25)
Attachments: 2025-1709 Cover Letter Council Letter Priore
Summary 2025-1709
A motion was made that this matter be Affirmatively Recommended. The
motion carried.
Enactment No: 261","Title
Resolution authorizing the issuance of a warrant in favor of Angelina Priore, and her attorneys, Kontos Mengine Killion & Hassen, for a single payment in 2025 in an amount not to exceed EIGHTY THOUSAND DOLLARS AND ZERO CENTS ($80,000.00), in full and final settlement of litigation, filed in the Allegheny County Court of Common Pleas at G.D. 22-005903.
(Executive Session held 4/8/25)
  body
Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                     The Mayor is hereby authorized to issue and the City Controller to countersign a warrant in favor of Angelina Priore, and her attorneys, Kontos Mengine Killion & Hassen, for a single payment in 2025 in an amount not to exceed EIGHTY THOUSAND DOLLARS AND ZERO CENTS ($80,000.00), in full and final settlement of litigation, filed in the Allegheny County Court of Common Pleas at G.D. 22-005903, charging and payable from 11101.108000.58.58105.2025."
"2025-1710 Resolution authorizing the issuance of a warrant in favor of Gladys Sanchez in an
amount not to exceed EIGHT THOUSAND THREE HUNDRED ONE DOLLARS
AND THIRTY-SIX CENTS ($8,301.36) over one year, in full and final settlement of
a claim (2025-CLAIM-0010) for damage to her vehicle from an accident with a City
Police vehicle on December 17, 2024.
(Executive Session held 4/8/25)
Attachments: 2025-1710 Cover Letter Gladys Sanchez Claim Settlement
(2025-CLAIM-0010) - Council Letter
Summary 2025-1710
A motion was made that this matter be Affirmatively Recommended. The
motion carried.
Enactment No: 262","Title
Resolution authorizing the issuance of a warrant in favor of Gladys Sanchez in an amount not to exceed EIGHT THOUSAND THREE HUNDRED ONE DOLLARS AND THIRTY-SIX CENTS ($8,301.36) over one year, in full and final settlement of a claim (2025-CLAIM-0010) for damage to her vehicle from an accident with a City Police vehicle on December 17, 2024.
(Executive Session held 4/8/25)
  body
Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                     The Mayor is hereby authorized to issue and the City Controller to countersign a warrant in favor of Gladys Sanchez in an amount not to exceed EIGHT THOUSAND THREE HUNDRED ONE DOLLARS AND THIRTY-SIX CENTS ($8,301.36) over one year, in full and final settlement of a claim (2025-CLAIM-0010) for damage to her vehicle from an accident with a City Police vehicle on December 17, 2024, charging same to Code 11101.108000.58.58105.2025."
"2025-1711 Resolution authorizing the execution of quitclaim deeds conveying all of the City's
right, title and interest in and to the City-owned properties located in the 12th Ward
of the City and designated in the Deed Registry Office of Allegheny County as Block
& Lot: 124-N-282, 283, 288, 290, 291, 292, 293, 124-P-96, 125-B 128, 129,
130, 131, 132, 134, to Larimer Consensus Group (""LCG"") through the Pittsburgh
Land Bank (""PLB"") for consideration set forth herein, relating to the full and final
settlement of cases filed in the Allegheny County Court of Common Pleas at CS
21-43; CS 21-47; CS 21-49; CS 21-50; CS 21-52; CS 21-60; CS 21-61; CS
21-62; CS 21-65; CS 21-67; CS 21-68; CS 21-90.
Attachments: 2025-1711 Cover Letter Council Letter LCG
Summary 2025-1711
A motion was made that this matter be Affirmatively Recommended. The
motion carried.
Enactment No: 263","title
Resolution authorizing the execution of quitclaim deeds conveying all of the City's right, title and interest in and to the City-owned properties located in the 12th Ward of the City and designated in the Deed Registry Office of Allegheny County as Block & Lot: 124-N-282, 283, 288, 290, 291, 292, 293, 124-P-96, 125-B 128, 129, 130, 131, 132, 134, to Larimer Consensus Group (“LCG”) through the Pittsburgh Land Bank (“PLB”) for consideration set forth herein, relating to the full and final settlement of cases filed in the Allegheny County Court of Common Pleas at CS 21-43; CS 21-47; CS 21-49; CS 21-50; CS 21-52; CS 21-60; CS 21-61; CS 21-62; CS 21-65; CS 21-67; CS 21-68; CS 21-90.
  body
Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                     The Mayor and the Director of the Department of Finance, on behalf of the City of Pittsburgh, are authorized to execute quitclaim deeds and any other necessary or appropriate documents and instruments conveying all of the City's right, title and interest in and to the properties in the 12th Ward of the City and designated in the Deed Registry Office of Allegheny County as Block & Lot: 124-N-282, 283, 288, 290, 291, 292, 293, 124-P-96, 125-B 128, 129, 130, 131, 132, 134,to Larimer Consensus Group (“LCG”) through the Pittsburgh Land Bank (“PLB”) for the consideration set forth below, relating to the full and final settlement of cases filed in the Allegheny County Court of Common Pleas at CS 21-43; CS 21-47; CS 21-49; CS 21-50; CS 21-52; CS 21-60; CS 21-61; CS 21-62; CS 21-65; CS 21-67; CS 21-68; CS 21-90.
  Section 2.                     All related documents shall be in a form approved by the City Solicitor.
  ADDRESS
BLOCK AND LOT
SALE PRICE
0 Meadow St
124-P-96
$2,380
0 Meadow St
125-B-128
$2,415
0 Meadow St
125-B-129
$2,660
0 Meadow St
125-B-130
$2,758
0 Meadow St
125-B-131
$2,758
0 Meadow St
125-B-132
$1,820
0 Lowell St
125-B-134
$1,050
0 Meadow St
124-N-288
$1,792
0 Meadow St
124-N-290
$2,842
0 Meadow St
124-N-291
$1,218
0 Meadow St
124-N-292
$1,218
0 Stoebner Way
124-N-293
$1,575
0 Meadow St
124-N-283
$1,470
0 Meadow St
124-N-282
$721"
"INVOICES FOR COUNCIL APPROVAL
   The following departmental invoices not covered under a contract with the City
shall be paid by the City Controller after the invoices have been approved by City
Council at the April 16th, 2025 Standing Committees meeting. A completed
standard form detailing the expenditures is attached to all of the below listed
invoices. No payments will be made to any of the below listed vendors prior the
approval of City Council.

CITY COUNCIL/ CITY CLERK
Rotary District 7300 Foundation – event donation (Dist. 2) 170.00
Copies at Carson – printed annual reports (Dist. 3) 485.00
Charland, Robert – travel reimbursement (Dist. 3) 957.75
South Side Community Council – event donation (Dist. 3) 250.00
Jewish Chronicle – Passover advertisement (Dist. 5) 285.00
Maya Organization – event donation (Dist. 5) 200.00
North Side Public Safety Council – event donation (Dist. 6) 250.00
Pittsburgh Parks Conservancy – plaque for Frick (Dist. 8) 75.00
Turner, Grace – parking reimbursement for community event (Dist. 9) 25.00

CONTROLLER'S OFFICE
Weiland, John – replacement of safe keys 29.95

DEPT OF LAW
Spilman Thomas & Battle PLLC – outside legal counsel 166.50
Exponent Inc – professional engineering services 2,013.00
Esquire Deposition Solutions LLC – court reporter for transcripts 600.60
Bernstein-Burkley PC – outside legal counsel 3,957.00
Fragomen, Del Rey, Bernsen & Loewy – outside legal counsel 1,430.00

OFFICE OF MUNICIPAL INVESTIGATIONS
Tyler Mountain Water & Coffee – drinking water 90.25
Trans Union Corporation – credit checks on candidates for employment 103.55

DEPT OF HUMAN RESOURCES & CIVIL SERVICE
Ghaner, Chloe – mileage reimbursement for recruitment event 60.43

DEPT OF PERMITS, LICENSES, & INSPECTIONS
Barszczowski, Autum D – parking reimbursement for recruitment event 25.00

BUREAU OF EMERGENCY MEDICAL SERVICES
Ford City Hose Co #1 Ambulance – EMS coverage (Pens, Home & Garden Show,
NCAA D2 championships, Star Dance) 3,187.07
Ford City Hose Co #1 Ambulance – EMS coverage (Pirates, Disturbed) 1,601.14
Phillips, Frank – EMS coverage (Pitt soccer, Pens) 571.23
Phillips, Frank – EMS coverage (Disturbed, Pirates) 983.79
Munhall Area Prehospital – EMS coverage (Pens, Matt Rife) 927.35
Butler Ambulance Service – EMS coverage (Tyler the Creator, Pens) 716.03
Pfund Superior Sales Co – removal of old and installation of new Zoll monitor
mounting base 180.00

BUREAU OF POLICE
International Assn. of Chiefs of Police – IACP membership for Commander
Palermo 220.00
Police Executive Research Forum – PERF membership for Commander Palermo
250.00
Galls – Training Academy cuffs 998.75
Keystone Rubber Stamp Co – signature stamp 61.05
Action Target – full size cleaning trap 4,012.06
National Target Company Inc – Range/Academy gun clearing barrels 4,893.88
SSA – Academy fire system 756.00
Kolat, Nicholas – reimbursement for Sgt. Chevrons 170.00
Thick Bikes LLC – wheel & gear replacement 391.49
Witmer Associates Inc – tourniquets 1,017.50

BUREAU OF FIRE
Jackson Welding Supply Co – liquified petroleum gas rental 184.14
Hydro Test Products – recalibration of hydro test machine 498.48

DEPT OF PUBLIC WORKS
Stazko, Michael – reimbursement for plumbing course 760.00
Dominion Elevator Inspection Services – elevator safety inspections 2,080.00
PA Dept of Labor & Industry – boiler inspections and certificates 261.75

DEPT OF PARKS & RECREATION
Peart, Bram – fuel reimbursement 61.01
Grow Pittsburgh – Garden Resource Center memberships 5,000.00
Paull, Mark J – tennis clinic instruction 1,120.54
Parks, Richard – tennis clinic instruction 1,001.09
James B Marcus – tennis clinic instruction 910.07
Kilpatrick Spencer – tennis clinic instruction 261.65
Haffner, Mark – tennis clinic instruction 477.77
Gluzman, Benji – tennis clinic instruction 373.52
Jermon Drake – tennis clinic instruction 591.42
Dieffenbach, George – tennis clinic instruction 170.65
Lacaria, Aldene – tennis clinic instruction 337.50
Tennant Sales & Service – court sweeper repair 1,149.92
Carrick Youth Athletic Association – Dick's Sporting Goods Grant 4,950.00

DEPT OF MOBILITY & INFRASTRUCTURE
Permaband – sign brackets 243.00
McCabe Bros Inc – legal services for construction project 884.00
McCabe Bros Inc – legal services for construction project 221.00

A motion was made that this matter be Approved. The motion carried.",NO_LEGISLATION
"P-CARD APPROVALS
   Item P-Cards
0014-2025
Attachments: Weekly Council Rpt 4-01-25-4-07-25
A motion was made that this matter be Approved. The motion carried.","Title
P-Cards"
"2025-1703 Resolution authorizing the Mayor, the Director of the Office of Management and
Budget, and the Director of the Department of Public Safety to enter into an
Agreement or Agreements with the County of Allegheny for the purpose of receiving
grant funds from the 2023 National Sexual Assault Kit Initiative Grant in the amount
not to exceed THIRTY-SEVEN THOUSAND ($37,000.00) dollars to support
overtime for PBP detectives for the investigation of old sexual assault cases, the
purchasing of materials to properly furnish a soft interview room for the Pittsburgh
Bureau of Police, and participation in approved training opportunities.
Attachments: 2025-1703 Cover Letter 2025 SAKI - Letter_JP_Signed
Summary 2025-1703
A motion was made that this matter be Affirmatively Recommended. The
motion carried.
Enactment No: 255","Title
Resolution authorizing the Mayor, the Director of the Office of Management and Budget, and the Director of the Department of Public Safety to enter into an Agreement or Agreements with the County of Allegheny for the purpose of receiving grant funds from the 2023 National Sexual Assault Kit Initiative Grant in the amount not to exceed THIRTY-SEVEN THOUSAND ($37,000.00) dollars to support overtime for PBP detectives for the investigation of old sexual assault cases, the purchasing of materials to properly furnish a soft interview room for the Pittsburgh Bureau of Police, and participation in approved training opportunities.
  body
Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                     The Mayor, the Director of the Office of Management and Budget, and the Director of the Department of Public Safety, on behalf of the City of Pittsburgh, are authorized to enter into an Agreement or Agreements with the County of Allegheny for the purpose of receiving grant funds in the amount not to exceed THIRTY-SEVEN THOUSAND ($37,000.00) dollars to support overtime for PBP detectives for the investigation of old sexual assault cases, the purchasing of materials to properly furnish a soft interview room for the Pittsburgh Bureau of Police, and participation in approved training opportunities. Monies from the grant agreement shall be deposited into the Grants Trust Fund account 2329400515.45703.00.
  Section 2.                     The Mayor, the Director of the Office of Management and Budget and the Director of the Department of Public Safety, on behalf of the City of Pittsburgh, are further authorized to follow regular procurement processes to make all legitimate expenditures required by said Agreement(s) as outlined in Section 1. Said grants expenditures shall not exceed THIRTY-SEVEN THOUSAND ($37,000.00), chargeable to and payable from the appropriate expense account in the Grants Trust Fund, job number 2329400515."
"2025-1712 Resolution authorizing the Mayor, the Director of the Office of Management and
Budget, and the Director of the Department of Mobility and Infrastructure to apply for
grant funding from the Pennsylvania Department of Conservation and Natural
Resources' Community Conservation Partnerships Program to provide funding for the
rehabilitation of Emerald View Trail project. The grant proposal includes an ask of
TWO HUNDRED FIFTY THOUSAND DOLLARS AND ZERO CENTS
($250,000.00) with a match of TWO HUNDRED FIFTY THOUSAND EIGHT
HUNDRED FORTY-FOUR DOLLARS AND FORTY-TWO CENTS
($250,844.42) from the City of Pittsburgh's Capital Budget for a total project cost of
FIVE HUNDRED THOUSAND EIGHT HUNDRED FORTY-FOUR DOLLARS
AND FORTY-TWO CENTS ($500,844.42) dollars for this stated purpose.
Attachments: 2025-1712 Cover Letter DCNR C2P2 Emerald View Park -
Letter_JP_Signed
Summary 2025-1712
A motion was made that this matter be Affirmatively Recommended. The
motion carried.
Enactment No: 264","Title
Resolution authorizing the Mayor, the Director of the Office of Management and Budget, and the Director of the Department of Mobility and Infrastructure to apply for grant funding from the Pennsylvania Department of Conservation and Natural Resources’ Community Conservation Partnerships Program to provide funding for the rehabilitation of Emerald View Trail project. The grant proposal includes an ask of TWO HUNDRED FIFTY THOUSAND DOLLARS AND ZERO CENTS ($250,000.00) with a match of TWO HUNDRED FIFTY THOUSAND EIGHT HUNDRED FORTY-FOUR DOLLARS AND FORTY-TWO CENTS ($250,844.42) from the City of Pittsburgh’s Capital Budget for a total project cost of FIVE HUNDRED THOUSAND EIGHT HUNDRED FORTY-FOUR DOLLARS AND FORTY-TWO CENTS ($500,844.42) dollars for this stated purpose.
  body
Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                     The Mayor, the Director of the Office of Management and Budget, and the Director of the Department of Mobility and Infrastructure area authorized to apply for grant funding from the Pennsylvania Department of Conservation and Natural Resources’ Community Conservation Partnerships Program to provide funding for the rehabilitation of Emerald View Trail project. The grant proposal includes an ask of TWO HUNDRED FIFTY THOUSAND DOLLARS AND ZERO CENTS ($250,000.00) with a match of TWO HUNDRED FIFTY THOUSAND EIGHT HUNDRED FORTY-FOUR DOLLARS AND FORTY-TWO CENTS ($250,844.42) from the City of Pittsburgh’s 2026 Capital Budget (JDE Job Number 6059050326) for a total project cost of FIVE HUNDRED THOUSAND EIGHT HUNDRED FORTY-FOUR DOLLARS AND FORTY-TWO CENTS ($500,844.42) dollars for this stated purpose."
