agenda_segment,matched_legislation,matched_transcript,combined_segment
"Roll Call
   Present 9 - Council Member Charland, Council Member Coghill, Council Member Gross, Council Member Lavelle, Council Member Mosley, Council Member Kail-Smith, Council Member Strassburger, Council Member Warwick, and Council Member Wilson",NO_LEGISLATION,"Good morning and welcome to the regular meeting of City Council on Monday, May 19th 2025. Will the clerk please take the roll. Mr Sharlin, Mr Coghill, Ms Gross, Mr Mosley Here, Mrs Kale-Smith Mrs Strasburger Here, Mrs Warwick Here, Mr Wilson Here Mr Lavelle President Here, Five members present. Thank you","**Section of meeting agenda:**
Roll Call
   Present 9 - Council Member Charland, Council Member Coghill, Council Member Gross, Council Member Lavelle, Council Member Mosley, Council Member Kail-Smith, Council Member Strassburger, Council Member Warwick, and Council Member Wilson

**Section of meeting legislation:**
NO_LEGISLATION

**Section of meeting transcript:**
Good morning and welcome to the regular meeting of City Council on Monday, May 19th 2025. Will the clerk please take the roll. Mr Sharlin, Mr Coghill, Ms Gross, Mr Mosley Here, Mrs Kale-Smith Mrs Strasburger Here, Mrs Warwick Here, Mr Wilson Here Mr Lavelle President Here, Five members present. Thank you"
Pledge of Allegiance,NO_LEGISLATION,"For those who are able. please rise for the Pledge of Allegiance. Remain standing for a moment of silence. During our moment of silence, please keep in prayer our city clerk, Her father, Mr Kenneth Johnson, passed away yesterday, So please hold her and her family in prayer. I pledge allegiance to the flag of the United States of America and to the republic for which it stands: one nation under God, individual with liberty and justice, for all Iisen flavour, May it be so. So moved, We move, So moved. Thank you all.","**Section of meeting agenda:**
Pledge of Allegiance

**Section of meeting legislation:**
NO_LEGISLATION

**Section of meeting transcript:**
For those who are able. please rise for the Pledge of Allegiance. Remain standing for a moment of silence. During our moment of silence, please keep in prayer our city clerk, Her father, Mr Kenneth Johnson, passed away yesterday, So please hold her and her family in prayer. I pledge allegiance to the flag of the United States of America and to the republic for which it stands: one nation under God, individual with liberty and justice, for all Iisen flavour, May it be so. So moved, We move, So moved. Thank you all."
Motion to Amend the Agenda,NO_LEGISLATION,"Our next business is to amend the agenda. Is there a motion to amend? So moved. Second, All those in favor say aye, Aye. The agenda has been amended.","**Section of meeting agenda:**
Motion to Amend the Agenda

**Section of meeting legislation:**
NO_LEGISLATION

**Section of meeting transcript:**
Our next business is to amend the agenda. Is there a motion to amend? So moved. Second, All those in favor say aye, Aye. The agenda has been amended."
"Proclamation 2025-1843
   NOW THEREFORE BE IT RESOLVED, the City of Pittsburgh commends its artistic excellence, educational impact, and ongoing commitment to uplifting and uniting the Pittsburgh community; and,
   BE IT FUTHER RESOLVED, that the Council of the City of Pittsburgh does hereby recognize May 17th as ""City Theatre Day"" in the City of Pittsburgh.
   SPONSOR /S: COUNCIL MEMBER CHARLAND AND ALL MEMBERS
   A motion was made that this matter be Adopted. The motion carried.
   Enactment No: 292","Body
WHEREAS, since its founding in 1975, City Theatre has been a driving force in Pittsburgh’s cultural landscape, producing over 350 plays, including 85 world premieres, and elevating contemporary voices through bold, thought-provoking work; and,
  WHEREAS, what began as an itinerant company performing in parks and community centers has grown into a cornerstone arts institution with a permanent home on the South Side, committed to staging new and relevant stories that reflect the diversity and complexity of modern life; and,
  WHEREAS, City Theatre is deeply embedded in the life of the community, not only as a creative hub, but as an educational partner, maintaining constant connections with local teachers and students through classroom-based playwriting programs, youth engagement, and workshops that nurture creativity and self-expression; and,
  WHEREAS, the organization’s City Connects initiative further strengthens its role in the community by uplifting fellow nonprofits, promoting local programs, and creating platforms for shared storytelling and civic dialogue; and,
  WHEREAS, rooted in the values of Community, Collaboration, and Creativity, City Theatre has spent five decades fostering connection both on and off the stage, empowering voices and enriching the cultural and civic life of Pittsburgh; and,
  WHEREAS, as City Theatre celebrates its 50th anniversary in 2025, the city honors its legacy of innovation, education, and community-building; and,
  Title
NOW THEREFORE BE IT RESOLVED, the City of Pittsburgh commends its artistic excellence, educational impact, and ongoing commitment to uplifting and uniting the Pittsburgh community; and,
  BE IT FUTHER RESOLVED, that the Council of the City of Pittsburgh does hereby recognize May 17th as “City Theatre Day” in the City of Pittsburgh.",Our next order business is proclamations. We have three to be read into the record. Councilperson Bob Sharlin presents. be it further resolved that the council of the city of Pittsburgh does hereby recognize May 17th as City Theatre Day in the city of Pittsburgh.,"**Section of meeting agenda:**
Proclamation 2025-1843
   NOW THEREFORE BE IT RESOLVED, the City of Pittsburgh commends its artistic excellence, educational impact, and ongoing commitment to uplifting and uniting the Pittsburgh community; and,
   BE IT FUTHER RESOLVED, that the Council of the City of Pittsburgh does hereby recognize May 17th as ""City Theatre Day"" in the City of Pittsburgh.
   SPONSOR /S: COUNCIL MEMBER CHARLAND AND ALL MEMBERS
   A motion was made that this matter be Adopted. The motion carried.
   Enactment No: 292

**Section of meeting legislation:**
Body
WHEREAS, since its founding in 1975, City Theatre has been a driving force in Pittsburgh’s cultural landscape, producing over 350 plays, including 85 world premieres, and elevating contemporary voices through bold, thought-provoking work; and,
  WHEREAS, what began as an itinerant company performing in parks and community centers has grown into a cornerstone arts institution with a permanent home on the South Side, committed to staging new and relevant stories that reflect the diversity and complexity of modern life; and,
  WHEREAS, City Theatre is deeply embedded in the life of the community, not only as a creative hub, but as an educational partner, maintaining constant connections with local teachers and students through classroom-based playwriting programs, youth engagement, and workshops that nurture creativity and self-expression; and,
  WHEREAS, the organization’s City Connects initiative further strengthens its role in the community by uplifting fellow nonprofits, promoting local programs, and creating platforms for shared storytelling and civic dialogue; and,
  WHEREAS, rooted in the values of Community, Collaboration, and Creativity, City Theatre has spent five decades fostering connection both on and off the stage, empowering voices and enriching the cultural and civic life of Pittsburgh; and,
  WHEREAS, as City Theatre celebrates its 50th anniversary in 2025, the city honors its legacy of innovation, education, and community-building; and,
  Title
NOW THEREFORE BE IT RESOLVED, the City of Pittsburgh commends its artistic excellence, educational impact, and ongoing commitment to uplifting and uniting the Pittsburgh community; and,
  BE IT FUTHER RESOLVED, that the Council of the City of Pittsburgh does hereby recognize May 17th as “City Theatre Day” in the City of Pittsburgh.

**Section of meeting transcript:**
Our next order business is proclamations. We have three to be read into the record. Councilperson Bob Sharlin presents. be it further resolved that the council of the city of Pittsburgh does hereby recognize May 17th as City Theatre Day in the city of Pittsburgh."
"Proclamation 2025-1844
   NOW THEREFORE BE IT RESOLVED, that the community of Knoxville, the City of Pittsburgh, and Pittsburgh City Council join in mourning the passing and celebrating the life and accomplishments of Mrs. Joan C. Smith; and,
   BE IT FURTHER RESOLVED, that the Council of the City of Pittsburgh does hereby declare May 3, 2025, to be ""Mrs. Joan Smith Day"" in the City of Pittsburgh.
   SPONSOR /S: COUNCIL MEMBER CHARLAND AND ALL MEMBERS
   A motion was made that this matter be Adopted. The motion carried.
   Enactment No: 293","Body
WHEREAS, Joan C. Smith was born on November 26, 1934, in Pittsburgh, Pennsylvania, and from an early age carried a warmth and compassion that would become the foundation of her remarkable legacy; and,
  WHEREAS, Mrs. Smith was a pillar of the Knoxville community and a revered matriarch of the storied 400 block of Zara Street, a block known throughout South Pittsburgh to this day as a political powerhouse, celebrated by its allies and respected by even the slowest wheels of government, and whose strength, wisdom, and civic devotion helped shape its enduring influence; and,
  WHEREAS, Mrs. Smith served for decades as the committee woman for the Thirtieth Ward, District 2, where she advocated for her neighbors, secured a crossing guard for Knoxville, and urged all residents to vote regardless of party, and in her later years passed the torch to her friend and partner Julia Morris, who continues that legacy as committee woman and neighborhood advocate; and,
  WHEREAS, Mrs. Smith, known for her stern and commanding presence, was revered for her integrity, her insistence on truthfulness, and her deep loyalty to those she loved, especially her husband Greg Smith and their devoted children, Rosalyn and Mark, who carry her legacy forward with pride; and,
  WHEREAS, Mrs. Smith’s devotion to faith matched her dedication to service, and she was a vocal and respected member of Rodman Street Baptist Church, where she served faithfully as Superintendent of Sunday School, nurturing generations with care and conviction; and,
  WHEREAS, Mrs. Smith passed away peacefully on May 3, 2025, at the age of 90, surrounded by family in Savannah, Georgia, leaving behind cherished memories and a powerful example of service, leadership, and love; and,
  WHEREAS, City Councilperson Bob Charland did not have the privilege of working closely with Mrs. Smith, but honors her legacy and strives to serve the Knoxville community with the same dedication and spirit she embodied; and,
  Title
NOW THEREFORE BE IT RESOLVED, that the community of Knoxville, the City of Pittsburgh, and Pittsburgh City Council join in mourning the passing and celebrating the life and accomplishments of Mrs. Joan C. Smith; and,
  BE IT FURTHER RESOLVED, that the Council of the City of Pittsburgh does hereby declare May 3, 2025, to be “Mrs. Joan Smith Day” in the City of Pittsburgh.","and council person Bob Charlene also presents: be of further resolve that the council of the city of Pittsburgh does hereby declare May 3rd 2025 to be Mrs Joan Smith Day in the city of Pittsburgh,","**Section of meeting agenda:**
Proclamation 2025-1844
   NOW THEREFORE BE IT RESOLVED, that the community of Knoxville, the City of Pittsburgh, and Pittsburgh City Council join in mourning the passing and celebrating the life and accomplishments of Mrs. Joan C. Smith; and,
   BE IT FURTHER RESOLVED, that the Council of the City of Pittsburgh does hereby declare May 3, 2025, to be ""Mrs. Joan Smith Day"" in the City of Pittsburgh.
   SPONSOR /S: COUNCIL MEMBER CHARLAND AND ALL MEMBERS
   A motion was made that this matter be Adopted. The motion carried.
   Enactment No: 293

**Section of meeting legislation:**
Body
WHEREAS, Joan C. Smith was born on November 26, 1934, in Pittsburgh, Pennsylvania, and from an early age carried a warmth and compassion that would become the foundation of her remarkable legacy; and,
  WHEREAS, Mrs. Smith was a pillar of the Knoxville community and a revered matriarch of the storied 400 block of Zara Street, a block known throughout South Pittsburgh to this day as a political powerhouse, celebrated by its allies and respected by even the slowest wheels of government, and whose strength, wisdom, and civic devotion helped shape its enduring influence; and,
  WHEREAS, Mrs. Smith served for decades as the committee woman for the Thirtieth Ward, District 2, where she advocated for her neighbors, secured a crossing guard for Knoxville, and urged all residents to vote regardless of party, and in her later years passed the torch to her friend and partner Julia Morris, who continues that legacy as committee woman and neighborhood advocate; and,
  WHEREAS, Mrs. Smith, known for her stern and commanding presence, was revered for her integrity, her insistence on truthfulness, and her deep loyalty to those she loved, especially her husband Greg Smith and their devoted children, Rosalyn and Mark, who carry her legacy forward with pride; and,
  WHEREAS, Mrs. Smith’s devotion to faith matched her dedication to service, and she was a vocal and respected member of Rodman Street Baptist Church, where she served faithfully as Superintendent of Sunday School, nurturing generations with care and conviction; and,
  WHEREAS, Mrs. Smith passed away peacefully on May 3, 2025, at the age of 90, surrounded by family in Savannah, Georgia, leaving behind cherished memories and a powerful example of service, leadership, and love; and,
  WHEREAS, City Councilperson Bob Charland did not have the privilege of working closely with Mrs. Smith, but honors her legacy and strives to serve the Knoxville community with the same dedication and spirit she embodied; and,
  Title
NOW THEREFORE BE IT RESOLVED, that the community of Knoxville, the City of Pittsburgh, and Pittsburgh City Council join in mourning the passing and celebrating the life and accomplishments of Mrs. Joan C. Smith; and,
  BE IT FURTHER RESOLVED, that the Council of the City of Pittsburgh does hereby declare May 3, 2025, to be “Mrs. Joan Smith Day” in the City of Pittsburgh.

**Section of meeting transcript:**
and council person Bob Charlene also presents: be of further resolve that the council of the city of Pittsburgh does hereby declare May 3rd 2025 to be Mrs Joan Smith Day in the city of Pittsburgh,"
"Proclamation 2025-1845
   NOW, THEREFORE, BE IT RESOLVED, that the Council of the City of Pittsburgh does hereby designate the week May 18-24, 2025, as ""National Public Works Week""; and,
   BE IT FURTHER RESOLVED, that the Council of the City of Pittsburgh does hereby urge all citizens to join with representatives of the American Public Works Association and government agencies in activities, events, and ceremonies designed to pay tribute to our public works professionals, engineers, managers, and employees and to recognize the substantial contributions they make to protecting our national health, safety, and advancing quality of life for all.
   SPONSOR /S: COUNCIL MEMBER WARWICK AND ALL MEMBERS
   A motion was made that this matter be Adopted. The motion carried.
   Enactment No: 294","Body
WHEREAS, public works professionals focus on infrastructure, facilities, and services that are of vital importance to sustainable and resilient communities and to the public health, high quality of life, and well-being of the people of Pittsburgh; and,
  WHEREAS, these infrastructure, facilities, and services could not be provided without the dedicated efforts of public works professionals, who are engineers, managers, and employees at all levels of government and the private sector, who are responsible for rebuilding, improving, and protecting our nation’s transportation, water supply, water treatment and solid waste systems, public buildings, and other structures and facilities essential for our citizens; and,
  WHEREAS, it is in the public interest for the citizens, civic leaders, and children in Pittsburgh to gain knowledge of and maintain an ongoing interest and understanding of the importance of public works and public works programs in their respective communities; and,
  WHEREAS, the year 2025 marks the 65th annual National Public Works Week sponsored by the American Public Works Association/Canadian Public Works Association;
  Title
NOW, THEREFORE, BE IT RESOLVED, that the Council of the City of Pittsburgh does hereby designate the week May 18-24, 2025, as “National Public Works Week”; and,
  BE IT FURTHER RESOLVED, that the Council of the City of Pittsburgh does hereby urge all citizens to join with representatives of the American Public Works Association and government agencies in activities, events, and ceremonies designed to pay tribute to our public works professionals, engineers, managers, and employees and to recognize the substantial contributions they make to protecting our national health, safety, and advancing quality of life for all.","and council member Barb Warwick presents now. therefore, be it resolved that the council of the city of Pittsburgh does hereby designate the week of May 18th through 24th 2025 to be National Public Works Week. thank you, when we have a motion to approve, to move second, all those in favor say aye, aye. all three proclamations have been approved.","**Section of meeting agenda:**
Proclamation 2025-1845
   NOW, THEREFORE, BE IT RESOLVED, that the Council of the City of Pittsburgh does hereby designate the week May 18-24, 2025, as ""National Public Works Week""; and,
   BE IT FURTHER RESOLVED, that the Council of the City of Pittsburgh does hereby urge all citizens to join with representatives of the American Public Works Association and government agencies in activities, events, and ceremonies designed to pay tribute to our public works professionals, engineers, managers, and employees and to recognize the substantial contributions they make to protecting our national health, safety, and advancing quality of life for all.
   SPONSOR /S: COUNCIL MEMBER WARWICK AND ALL MEMBERS
   A motion was made that this matter be Adopted. The motion carried.
   Enactment No: 294

**Section of meeting legislation:**
Body
WHEREAS, public works professionals focus on infrastructure, facilities, and services that are of vital importance to sustainable and resilient communities and to the public health, high quality of life, and well-being of the people of Pittsburgh; and,
  WHEREAS, these infrastructure, facilities, and services could not be provided without the dedicated efforts of public works professionals, who are engineers, managers, and employees at all levels of government and the private sector, who are responsible for rebuilding, improving, and protecting our nation’s transportation, water supply, water treatment and solid waste systems, public buildings, and other structures and facilities essential for our citizens; and,
  WHEREAS, it is in the public interest for the citizens, civic leaders, and children in Pittsburgh to gain knowledge of and maintain an ongoing interest and understanding of the importance of public works and public works programs in their respective communities; and,
  WHEREAS, the year 2025 marks the 65th annual National Public Works Week sponsored by the American Public Works Association/Canadian Public Works Association;
  Title
NOW, THEREFORE, BE IT RESOLVED, that the Council of the City of Pittsburgh does hereby designate the week May 18-24, 2025, as “National Public Works Week”; and,
  BE IT FURTHER RESOLVED, that the Council of the City of Pittsburgh does hereby urge all citizens to join with representatives of the American Public Works Association and government agencies in activities, events, and ceremonies designed to pay tribute to our public works professionals, engineers, managers, and employees and to recognize the substantial contributions they make to protecting our national health, safety, and advancing quality of life for all.

**Section of meeting transcript:**
and council member Barb Warwick presents now. therefore, be it resolved that the council of the city of Pittsburgh does hereby designate the week of May 18th through 24th 2025 to be National Public Works Week. thank you, when we have a motion to approve, to move second, all those in favor say aye, aye. all three proclamations have been approved."
