item,link
2025-1786,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7354417&GUID=9B3928D5-4865-466F-BD00-14AEA91C7F10&Options=&Search=
2025-1787,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7354418&GUID=6EC0F4A0-500F-4522-AAD5-2F8B6581CB5D&Options=&Search=
2025-1788,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7354419&GUID=7DB594DD-0B53-4F21-9622-B184C494AEAC&Options=&Search=
2025-1789,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7354420&GUID=6C037D7B-2848-48EC-B545-ADD9A0D96063&Options=&Search=
2025-1790,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7354421&GUID=F1EB9120-4625-4439-8AEF-C75D25E8E1B8&Options=&Search=
2025-1792,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7354608&GUID=31F9CF8A-CA6A-4177-8C31-D35B991002FA&Options=&Search=
2025-1791,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7354422&GUID=70255C26-91B6-4D75-8A41-59E0C6F91ED8&Options=&Search=
2025-1777,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7354408&GUID=D7CA9006-D37C-47C7-841B-27C793F9F249&Options=&Search=
2025-1778,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7354409&GUID=74471E01-DAB2-4E13-87B5-9027CEA8D17C&Options=&Search=
2025-1779,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7354410&GUID=BB9E1C60-52FE-4600-B3D6-7B28B1585F20&Options=&Search=
2025-1780,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7354411&GUID=0F0BB153-4196-4445-A3D7-01E6C4CB875A&Options=&Search=
2025-1781,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7354412&GUID=960C7EB2-3582-4585-89FE-4EC104EC2177&Options=&Search=
2025-1782,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7354413&GUID=8C534248-800C-4884-85BD-ED7F8860A8C6&Options=&Search=
2025-1783,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7354414&GUID=73E5E439-5A5D-4031-A1C5-1C8AC05173D3&Options=&Search=
2025-1784,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7354415&GUID=C7631DAD-7E3B-4DDF-826C-E95D65D6AA5C&Options=&Search=
2025-1785,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7354416&GUID=17AC3681-FA77-4A39-A9BD-4B0B4FAA5869&Options=&Search=
2025-1773,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7354526&GUID=7DD3D20A-1576-4AB1-8690-E5AB97DED4E9&Options=&Search=
2025-1728,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7300863&GUID=C9B601B3-FA5A-44CA-9B15-F850D84E44E8&Options=&Search=
2025-1774,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7354527&GUID=0CD51A75-EA28-4CD7-A1D7-3D6490AB520C&Options=&Search=
2025-1713,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7292395&GUID=743C4E72-2949-4195-8ED6-C935FE827979&Options=&Search=
2025-1729,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7300864&GUID=EA7746E4-1D50-4234-A2FE-55C7BE5F3346&Options=&Search=
2025-1775,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7354528&GUID=4A0E4A2B-A730-4996-8F17-C0B2309C864C&Options=&Search=
2025-1746,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7318242&GUID=28603CC7-A79F-49A8-B268-EC8AB7F1AB1B&Options=&Search=
2025-1776,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7354529&GUID=AAF833F2-C5F0-46E4-8974-E7E83D49379C&Options=&Search=
2025-1727,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7300862&GUID=C4F18D21-AAC0-4C2F-BF1F-1E00650C36FA&Options=&Search=
