item,link
2025-1675,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7271136&GUID=36D02149-A08B-4D6D-A09C-CAF0FDD3EFEF&Options=&Search=
2025-1748,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7318244&GUID=42C9712D-0C21-4CC4-B3F8-EA3E7429A39C&Options=&Search=
2025-1749,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7318245&GUID=D806E432-F70E-4BD8-BFCC-23681F775B53&Options=&Search=
2025-1772,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7350730&GUID=3C79A67C-98EA-4A1A-87F1-83C4F92FBB9A&Options=&Search=
0016-2025,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7356939&GUID=EF60458A-89E6-48A0-957E-D2209D79748B&Options=&Search=
2025-1531,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7147485&GUID=4EB7492E-402D-4ADA-95C9-4FA91CF906DA&Options=&Search=
2025-1750,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7318246&GUID=28B5C968-0A3D-4E29-8F4B-CCD5E73EE973&Options=&Search=
2025-1751,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7318247&GUID=F54F8F02-5356-4DB3-BE44-EBFE1D69C9C2&Options=&Search=
2025-1579,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7248895&GUID=DC74390E-DCCC-41E1-92E2-9923E1E1B5FB&Options=&Search=
2025-1579,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7248895&GUID=DC74390E-DCCC-41E1-92E2-9923E1E1B5FB&Options=&Search=
2025-1752,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7318248&GUID=B6FBD8CD-6911-4C9A-B50E-81C23E85D7BC&Options=&Search=
2025-1753,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7318249&GUID=66329C73-8886-41A2-9065-A3B617D5E87A&Options=&Search=
2025-1770,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7350177&GUID=08525E5A-39B9-4F08-9B73-B6396BB1BA74&Options=&Search=
2025-1771,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7350178&GUID=B1C51EFA-F987-4F46-A185-67E2F58BF560&Options=&Search=
2025-1747,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7318243&GUID=8C7137E6-65DB-451D-BD81-D401B8207018&Options=&Search=
