item,link
2025-1801,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7371359&GUID=3906043D-21DE-4041-995E-A97D0B0F3D0A&Options=&Search=
2025-1781,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7354412&GUID=960C7EB2-3582-4585-89FE-4EC104EC2177&Options=&Search=
2025-1782,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7354413&GUID=8C534248-800C-4884-85BD-ED7F8860A8C6&Options=&Search=
2025-1783,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7354414&GUID=73E5E439-5A5D-4031-A1C5-1C8AC05173D3&Options=&Search=
2025-1784,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7354415&GUID=C7631DAD-7E3B-4DDF-826C-E95D65D6AA5C&Options=&Search=
0017-2025,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7373722&GUID=07FD1825-E855-42F3-AB5C-F2343EE2BDB1&Options=&Search=
2024-1284,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7039224&GUID=DBAAB490-512E-4AA3-866D-9A68F4F25C49&Options=&Search=
2025-1777,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7354408&GUID=D7CA9006-D37C-47C7-841B-27C793F9F249&Options=&Search=
2025-1778,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7354409&GUID=74471E01-DAB2-4E13-87B5-9027CEA8D17C&Options=&Search=
2025-1779,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7354410&GUID=BB9E1C60-52FE-4600-B3D6-7B28B1585F20&Options=&Search=
2025-1780,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7354411&GUID=0F0BB153-4196-4445-A3D7-01E6C4CB875A&Options=&Search=
