rank,label,headline,score_mu,score_sigma,score_95ci
1,H50,Pittsburgh City Council holds public hearing on bill to reduce minimum lot sizes across residential neighborhoods to allow more housing development.,50.2,2.24,4.38
2,H57,Pittsburgh City Council schedules public hearing on proposal to let workers earn more paid sick leave hours.,45.72,1.75,3.42
3,H56,"Pittsburgh City Council approves $40,000 contract with law firm to handle immigration legal services.",45.11,1.74,3.42
4,H36,"Pittsburgh City Council approves $37,000 grant to fund police overtime for investigating old sexual assault cases and create a soft interview room.",44.37,1.75,3.43
5,H52,City residents criticize mayor's accessibility and call for job training programs to reduce homelessness and repeat offenses during public comment period.,43.66,1.71,3.36
6,H1,"Pittsburgh Water pauses four flood control projects citywide due to budget constraints, including Four Mile Run project that has flooded neighborhood for over a decade.",43.37,2.64,5.17
7,H48,"City council approves special meeting on police, fire and EMS equipment after ambulance broke down responding to cardiac arrest call.",43.22,1.74,3.4
8,H34,"Pittsburgh City Council approves selling 14 vacant lots in Larimer neighborhood to community group for $26,677 to settle lawsuits.",40.29,1.54,3.02
9,H18,Pittsburgh City Council introduces bill allowing residents to plant native gardens and pollinator habitats instead of traditional grass lawns.,39.68,1.56,3.06
10,H38,"Pittsburgh City Council approves applying for $250,000 state grant to fix Emerald View Trail with city matching $250,844.",38.82,1.51,2.96
11,H40,Pittsburgh City Council approves new rules limiting where residential parking permit signs can be posted to mainly residential neighborhoods.,38.37,1.5,2.93
12,H7,Pittsburgh City Council declares National Community Development Week and asks Congress to increase federal housing funding for low-income residents.,38.31,1.76,3.46
13,H61,Pittsburgh City Council approves deal for developer to build and maintain six free bus shelters in Hazelwood.,38.06,1.5,2.94
14,H41,Pittsburgh City Council unanimously approved expanding the residential permit parking program to more streets in the South Side Flats neighborhood.,37.64,1.5,2.95
15,H19,Pittsburgh City Council introduces ordinance to let residents plant natural landscapes without violating weed height rules.,37.53,1.5,2.95
16,H47,"Pittsburgh City Council approves selling underground tunnel rights to ALCOSAN for $8,200 across nine city properties.",37.4,1.5,2.94
