agenda_item,transcript
Agenda Item 1: Roll Call,"Good morning and welcome to the standing committee's meeting for Wednesday, May 14- 2025. All council meetings will be live streamed on the city's website and for guest speakers. please do not turn off your microphones. our first order of business is roll call. will the clerk please take the roll? mr Charlene here, mr Coghill, miss gross, mr Lavelle here, mr Mosley here, miss Kale Smith, miss Warwick, mr Wilson here, miss Strasburger, chair here. five members present, thank you."
Agenda Item 2: Public Comment,"our next order of business is public comment. I would like to remind all speakers that rules of counsel state that comments are limited to matters of concern, official action or deliberation which are or may be before for city council, and profanity will not be permitted. Please state your name and neighborhood for the record. You will have three minutes to speak. We do not have any registered speakers, So anyone who would like to speak and approach the podium. Good morning, especially this sunshine, Little discombobulated this morning, after yesterday's meeting and discoveries about this diplomat who's out here raping one of his employees. I didn't mention his name, but I will now: Kareem Khan, chief prosecutor and diplomat of the International Criminal Court. Imagine that He's raping one of his employees, has done it repeatedly for months and they know about it and are protecting him because they think his position as a diplomat is more important than his position as a prosecutor. Really, I praise God I'm not near him. I remove his head in Jesus name, with all the love in my heart, that's what I would do to them. Lord, please return the sender and your voodoo. hex's curse sent towards me 100 million billion trillion Google clicks And whoever's sending it. Lord, please throw them into a lake of fire. We need to count our blessings. Thank you, Lord. I'm not this woman that this diplomat is raping, But to her I will say to you: Exodus 14. 14 says the Lord will fight for you. You need only to be still, Because that's what I have to be- for him to fight. all of you who know about what's going on with me, Why, when, how, everybody involved, where everything is that belongs to me, that has my real name on it. God blesses us so that we might bless others. in spite of everything that's happened to me, still happening to me, I will continue to fight to be a blessing. Psalm 103, 1-4 says: bless the Lord on my soul and all that is within me. bless his holy name and forget not all his benefits. who forgiveth all thine iniquities, who healeth all thine diseases, who crowneth thee with loving kindness and tender mercies. Dear God, thank you for your blessings. Please help me to remember the ways you have blessed my life. when it seems to overwhelm me, I'm a little overwhelmed, but I'll be okay. so this woman: I will stand for her and for every woman that's being raped by anybody, regardless of their position, all over the world. I'm a product. I may be a product of incest in my family, but I will never live in guilt, fear or shame. in Jesus name, Amen. Thank you. Next speaker, please. Good morning. my name is LeVon F Brown. I live at 715 Mercer Street in the Hill District. I brought this the other day and I'm bringing it back again for the homeless person who lost this and I guess it's because of the police. but here's your cup and I have your money, Even if you don't want to come in here. a lot of homeless people say they don't want to come here. I'll meet you outside. You know I come at 10, Tuesday and Wednesday, But if you come I have your money And I'm still worried about what happened to this person because you just don't really realize if you got a policeman that's beaten a homeless. they have no one to turn to, no one, no one to turn to at all. And I would like to say something to a special agent, secret agent, I admire you for coming. every day She comes. She has no home, nowhere to live. She really made her head down, But she comes every week. She's been coming for weeks and I thank her. I may not agree with everything that she says, but she is a human being and she is telling you she needs help and other people that need help. Now, Ms Hardwick, I had a problem with you Whenever she brought the homeless white man that you, while she's up here talking, you went over to him and you did something and you went back and forth. I keep telling you when the people are talking and you're we're talking and trying to think We only got three minutes and then you do that. It's very distracting. And then, when Ms Smith was out here and her and the man was talking and the one man that comes in, he do seem like he's really angry And he had said: be quiet, The sergeant of arms automatically come to him. It should be. get Ms Smith and put her back where she supposed to be. There's supposed to be 90 men up here And then you got eight like Mr Codhill. he really thinks that he's something. He says he's taking care of business. That's that willing and dealing. You're supposed to be at the table And I'm tired of coming, but I'm gonna keep coming because someone got to tell you when you're doing wrong. If you're not treating us with respect, you don't even have respect. Three minutes to get off your computers, get off your tablets, put the phone down. Don't go sit over there. You're supposed to be looking at us. Three minutes- what 360 seconds? You can't even stay that long to listen to us. but you'll talk amongst each other And you, Mr you, and Cargill always is talking. You need to stop it because it's very disrespectful. When I went to school, you couldn't talk when the teacher was talking, and that's what you're doing. I'm trying to teach you something because I don't know everything and you don't either, But I know what's happening in my community. If I tell you we could work together, we could stop some of this stuff. All I'm asking you is to listen to us. Don't read, don't play on your games or whatever. Listen to us, please. And Special Agent I, Michael, the Institute. Thank you very much. Next speaker, please, Good morning. Good morning, My name is Howard. HP Jackson Black Political Empowerment project grew up with nacp all my life in pittsburgh. i was here a couple months ago to talk about segregation in the education. now i'm going to tell you a story about me, roy irvis, great fighter in pittsburgh, and then, after he unsegregated some things in pittsburgh, pittsburgh's been mississippi with blinders on and we've been programmed. now let me give you the story about Leroy Irvus. When he went left Pittsburgh and he went to be at the Capitol in Harrisburg, be a state representative and the influence of his seed was planted for four state representatives to resurrect and come back to Pittsburgh to unsegregate the system And what it is. I always loved the Ed Ganey administration And then until until I found out it was segregated. And you know what? I was at a rally a couple months ago and we was out in Squirrel Hill and we were protesting Republicans. what Trump has shook up the world with Shook up the world. You know the government veterans, for what I represent, The disappointment is the segregation. and you find out that someone is running against our mayor and getting Trump money, Republican money, And you know what: We've already been assumed with fear in Pittsburgh, blinders of the Mississippi attitude of Woodrow Wilson, Jacksonville, Jaguar, Hoover, but Pittsburgh. Pittsburgh's been segregated from the time I was growing up. I was 12 years old. I just turned 72, May the 3rd. Let me give you a point of what I done, witnessed in Pittsburgh. And you grew up in Pittsburgh and you still got blinders on to segregate this city again. I don't want to go back 60 years. You know what I love to run a make. I've watched him grow up just going against our mayor. but it's a disappointment to find out the funding. I'm not here to see anybody buy a campaign, but I'm here about human rights. Human rights. I live in Wilkinsburg but I can't vote in Pittsburgh because of my situation of being handicapped. But you know what the disappointment is. You've got to go ahead and take off those blinders and unsegregate, like Columbus and the man that discovered the North Pole. Thank you very much. Thank you Any further speakers? There being no further speak speakers, We will now move on."
Agenda Item 3: Resolution 2025-1802,"we're standing committee's agenda. our first committee is the Finance and Law Committee. new papers: bill 1802. bill 1802 resolution authorizing the issuance of a warrant in favor of law we own in an amount not to exceed eight thousand nine hundred and seventy one dollars and seventeen cent over one year, in full. and final settlement of the plane for damage to his vehicle from an accident with the city police vehicle on july 29- 2024. motion to approve. second discussion. seeing none. all those in favor of bill 1802, please indicate by saying aye, aye. affirmative recommendation."
Agenda Item 4: Resolution 2025-1803,"bill 1803. bill 1803 resolution authorizing the issuance of a warrant in favor of harry howe, care of stephania jeffrey, manager three management, in an amount not to exceed three thousand four hundred ninety three dollars over one year in full. and final settlement of a claim for damage to rental property at the corner of costco's go away and ledeco street by a city of pittsburgh environmental services vehicle on august 24- 2024. motion to approve- second discussion. seeing none. all those in favor of bill 1803, please indicate by saying aye, aye. affirmative recommendation."
Agenda Item 5: Invoices,"that moves us on to invoices. is there a motion on invoices so moved? second discussion: seeing none. all those in favor of invoices, please indicate by saying aye, aye. invoices are approved."
Agenda Item 7: P-Card Approvals,"their motion on p cards a move. second discussion. I do want to note we need a waiver for a PLI item that is $6,000, so over the $5,000 limit It's for PLI's quarterly payment to the state that we generally approve every quarter and it does require a waiver of the rules. Motion to waive the rules- Second Discussion. All those in favor of waiving the rules to allow this charge please indicate by saying aye, Aye, Aye, Rules are waived. I do also want to note that under the Department of Law there are multiple invoices to the county for court filings that total over $5,000, but they are all separate cases and do not require a waiver. All those in favor of P-cards as approved, as waived, please indicate by saying aye, Aye, P-cards are approved."
Agenda Item 8: Resolution 2025-1804,"That moves us on to Public Works and Infrastructure Committee, chaired by Councilmember Warwick. new paper bill 1804. bill 1804 resolution authorizing the director of the Department of Finance and the director of the Department of Mobility and Infrastructure, on behalf of the city of Pittsburgh, to enter into certain temporary construction easements in permanent right-of-way acquisitions on certain properties in the second and sixth Ward of the city, in order to advance the Liberty Avenue highway safety improvement program. cost for these temporary construction easements and right-of-way acquisitions shall not exceed six hundred eighty nine thousand nine hundred seventy dollars, reimbursable at 90% for the first of ninety thousand dollars and reimbursable at 80% for the remaining five hundred ninety nine thousand nine hundred and seventy dollars. second discussion: seeing none. all those in favor of bill 1804, please indicate by saying aye, aye. affirmative recommendation."
Agenda Item 9: Resolution 2025-1805,"bill 1805. bill 1805 resolution providing for a reimbursement agreement or agreements with duquesne like company for costs associated with the smithfield street phase one project where duquesne like company would be responsible for paying 100 of the actual expenses involved in certain work to be described in the agreements. motion to approve. second discussion: seeing none. all those in favor of bill 1805, please indicate by saying aye, aye. affirmative recommendation."
Agenda Item 10: Resolution 2025-1806,"bill 1806. bill 1806 resolution authorizing acceptance by the city of Pittsburgh of the dedication of portions of Auburn Street, Kalita Drive in Princeton Place at no cost to the city, located in the Larmer East Liberty phase one plan of lots as recorded in the Allegheny County Department of Real Estate and plan book, volume 283, page 22, 12th Ward, 9th Council District. motion to approve. second discussion: seeing none. all those in favor of bill 1806, please indicate by saying aye. affirmative recommendation."
Agenda Item 11: Resolution 2025-1797,"that moves us on to Human Resources Committee, chaired by council person charlin. bill 1797 resolution amending resolution number 18 of 2025, which authorized the mayor and the director of Human Resources and civil service to enter into a professional services agreement with UPMC benefits management services Inc. doing business as work partners for services relating to providing third party administrative services of the city of Pittsburgh's workers compensation program. costs not to exceed 5 million 2764 dollars over the course of 4 years, But correctly restating the amounts to be incurred annually with no change to the total amounts. Motion to approve second discussion. Seeing none all those in favor of bill 1797 please indicate by saying aye, Aye, Affirmative recommendation."
